"B19013_001E","enrollment","FourYrDrop_Campus","FourYrGrad_Campus","CollegeReady_Math_Campus","CollegeReady_Reading_Campus","Attendance_All","Year","CNTYNAME","NAME"
55504,263.5,0.02,0.9805,0.494,0.395,0.9595,2015,"BLANCO","Blanco County, Texas"
56573,281,0.0345,0.9655,0.5575,0.5005,0.9605,2016,"BLANCO","Blanco County, Texas"
58500,279,0.008,0.961,0.647,0.482,0.955,2017,"BLANCO","Blanco County, Texas"
63071,273.5,0.021,0.979,0.8315,0.7505,0.9565,2018,"BLANCO","Blanco County, Texas"
66390,280,0.0075,0.977,0.8245,0.661,0.9565,2019,"BLANCO","Blanco County, Texas"
45288,261,0,0.993,0.765,0.71,0.948,2010,"BOSQUE","Bosque County, Texas"
44744,256.5,0.018,0.9535,0.78,0.665,0.959,2011,"BOSQUE","Bosque County, Texas"
44860,241.5,0,1,0.685,0.76,0.9625,2012,"BOSQUE","Bosque County, Texas"
44742,244,0,0.9905,0.63,0.595,0.96,2013,"BOSQUE","Bosque County, Texas"
44339,252,0,0.989,0.59,0.51,0.9565,2014,"BOSQUE","Bosque County, Texas"
44674,240,0,1,0.5015,0.4665,0.9525,2015,"BOSQUE","Bosque County, Texas"
45419,256.5,0.008,0.9595,0.371,0.2225,0.9555,2016,"BOSQUE","Bosque County, Texas"
48677,249.5,0,0.977,0.562,0.504,0.965,2017,"BOSQUE","Bosque County, Texas"
50882,243.5,0,1,0.764,0.8145,0.963,2018,"BOSQUE","Bosque County, Texas"
52148,245.5,0,0.986,0.7565,0.7685,0.963,2019,"BOSQUE","Bosque County, Texas"
42550,489.7,0.0526,0.9107,0.539,0.559,0.9384,2010,"BOWIE","Bowie County, Texas"
43210,437,0.0459,0.912,0.546,0.531,0.849909090909091,2011,"BOWIE","Bowie County, Texas"
42346,475.3,0.0365,0.9232,0.632,0.573,0.9378,2012,"BOWIE","Bowie County, Texas"
42346,477.5,0.0417,0.9112,0.664,0.549,0.9328,2013,"BOWIE","Bowie County, Texas"
42917,472.1,0.0513,0.9094,0.339,0.259,0.9396,2014,"BOWIE","Bowie County, Texas"
42670,434.363636363636,0.0503,0.8929,0.358777777777778,0.319555555555556,0.8475,2015,"BOWIE","Bowie County, Texas"
42683,477.2,0.031,0.939222222222222,0.275222222222222,0.320888888888889,0.946888888888889,2016,"BOWIE","Bowie County, Texas"
46283,523.333333333333,0.024,0.961444444444444,0.356333333333333,0.365555555555556,0.943888888888889,2017,"BOWIE","Bowie County, Texas"
47505,522.333333333333,0.0243333333333333,0.955,0.362888888888889,0.410666666666667,0.940666666666667,2018,"BOWIE","Bowie County, Texas"
50164,515.555555555556,0.0235555555555556,0.95,0.294444444444444,0.386666666666667,0.938888888888889,2019,"BOWIE","Bowie County, Texas"
65607,1142.21428571429,0.0340909090909091,0.833909090909091,0.553571428571429,0.524285714285714,0.901571428571429,2010,"BRAZORIA","Brazoria County, Texas"
67018,1154.5,0.02725,0.86875,0.596153846153846,0.491538461538462,0.8975,2011,"BRAZORIA","Brazoria County, Texas"
68008,1186.07142857143,0.0322857142857143,0.865214285714286,0.581428571428571,0.68,0.901785714285714,2012,"BRAZORIA","Brazoria County, Texas"
67603,1195.73333333333,0.0295714285714286,0.877571428571429,0.587857142857143,0.609285714285714,0.915307692307692,2013,"BRAZORIA","Brazoria County, Texas"
69092,1345.5,0.0353076923076923,0.878230769230769,0.387857142857143,0.349285714285714,0.922857142857143,2014,"BRAZORIA","Brazoria County, Texas"
69749,1406,0.04,0.871538461538461,0.422428571428571,0.372928571428571,0.919071428571429,2015,"BRAZORIA","Brazoria County, Texas"
72006,1275.125,0.0462307692307692,0.881923076923077,0.411533333333333,0.304666666666667,0.914214285714286,2016,"BRAZORIA","Brazoria County, Texas"
76426,1316.4375,0.0347857142857143,0.913785714285714,0.4731875,0.3586875,0.9251875,2017,"BRAZORIA","Brazoria County, Texas"
79270,1327.0625,0.0357142857142857,0.903928571428571,0.522733333333333,0.355333333333333,0.9178,2018,"BRAZORIA","Brazoria County, Texas"
81447,1446.6,0.0277857142857143,0.929142857142857,0.558214285714286,0.427214285714286,0.930571428571429,2019,"BRAZORIA","Brazoria County, Texas"
37898,1142.83333333333,0.0653333333333333,0.812,0.61,0.598,0.891333333333333,2010,"BRAZOS","Brazos County, Texas"
37161,1138.83333333333,0.0885,0.7375,0.578333333333333,0.531666666666667,0.901666666666667,2011,"BRAZOS","Brazos County, Texas"
37638,990,0.08125,0.77825,0.65,0.701666666666667,0.897666666666667,2012,"BRAZOS","Brazos County, Texas"
38310,1022.71428571429,0.0908333333333333,0.808,0.708333333333333,0.666666666666667,0.904428571428571,2013,"BRAZOS","Brazos County, Texas"
39060,1086.28571428571,0.0935,0.796833333333333,0.428571428571429,0.34,0.900857142857143,2014,"BRAZOS","Brazos County, Texas"
39808,1138.71428571429,0.094,0.8005,0.483857142857143,0.425,0.912571428571429,2015,"BRAZOS","Brazos County, Texas"
41654,1012.25,0.107166666666667,0.752833333333333,0.487857142857143,0.417142857142857,0.904714285714286,2016,"BRAZOS","Brazos County, Texas"
43907,1050.125,0.0845714285714286,0.773571428571429,0.488428571428571,0.409857142857143,0.921,2017,"BRAZOS","Brazos County, Texas"
46839,1205.28571428571,0.0763333333333333,0.853333333333333,0.609571428571429,0.497,0.931142857142857,2018,"BRAZOS","Brazos County, Texas"
49181,1226.85714285714,0.0606666666666667,0.8385,0.576857142857143,0.450571428571429,0.923714285714286,2019,"BRAZOS","Brazos County, Texas"
35799,168,0,1,0.415,0.335,0.935,2010,"BREWSTER","Brewster County, Texas"
39615,162,0.052,0.837,0.87,0.605,0.9505,2011,"BREWSTER","Brewster County, Texas"
40086,158.5,0.125,0.729,0.6,0.92,0.9555,2012,"BREWSTER","Brewster County, Texas"
40477,158.5,0,1,0.71,0.79,0.9585,2013,"BREWSTER","Brewster County, Texas"
38589,155,0.057,0.8865,0.245,0.225,0.9565,2014,"BREWSTER","Brewster County, Texas"
38395,166,0,0.9845,0.289,0.3305,0.96,2015,"BREWSTER","Brewster County, Texas"
38440,169.5,0.007,0.9785,0.531,0.456,0.96,2016,"BREWSTER","Brewster County, Texas"
38906,178.5,0.0085,0.9915,0.574,0.407,0.9525,2017,"BREWSTER","Brewster County, Texas"
43894,170.5,0,0.9935,0.5935,0.41,0.9505,2018,"BREWSTER","Brewster County, Texas"
47080,171,0,0.993,0.343,0.3215,0.952,2019,"BREWSTER","Brewster County, Texas"
19959,402,0.053,0.894,0.46,0.57,0.921,2010,"BROOKS","Brooks County, Texas"
19936,399,0.095,0.798,0.54,0.66,0.905,2011,"BROOKS","Brooks County, Texas"
21445,413,0.034,0.884,0.65,0.55,0.933,2012,"BROOKS","Brooks County, Texas"
21865,398,0.082,0.84,0.75,0.55,0.929,2013,"BROOKS","Brooks County, Texas"
22176,418,0.135,0.79,0.16,0.19,0.934,2014,"BROOKS","Brooks County, Texas"
22741,422,0.149,0.825,0.354,0.338,0.945,2015,"BROOKS","Brooks County, Texas"
24913,433,0.095,0.85,0.398,0.367,0.947,2016,"BROOKS","Brooks County, Texas"
24794,404,0.085,0.897,0.594,0.406,0.934,2017,"BROOKS","Brooks County, Texas"
27378,397,0.091,0.9,0.527,0.44,0.926,2018,"BROOKS","Brooks County, Texas"
28333,390,0.081,0.919,0.551,0.382,0.933,2019,"BROOKS","Brooks County, Texas"
38832,214.375,0.0255,0.908166666666667,0.435714285714286,0.52,0.836375,2010,"BROWN","Brown County, Texas"
39965,211.5,0.0478333333333333,0.9125,0.566666666666667,0.51,0.835875,2011,"BROWN","Brown County, Texas"
40821,208.25,0.00114285714285714,0.822142857142857,0.623333333333333,0.626666666666667,0.959166666666667,2012,"BROWN","Brown County, Texas"
39776,277.833333333333,0.0146666666666667,0.966833333333333,0.691666666666667,0.571666666666667,0.954666666666667,2013,"BROWN","Brown County, Texas"
40982,285,0.0375,0.904,0.333333333333333,0.343333333333333,0.955833333333333,2014,"BROWN","Brown County, Texas"
41962,286.333333333333,0.0128333333333333,0.978833333333333,0.344833333333333,0.389666666666667,0.957,2015,"BROWN","Brown County, Texas"
43235,294.833333333333,0.0113333333333333,0.961833333333333,0.431,0.3655,0.956166666666667,2016,"BROWN","Brown County, Texas"
43062,291.166666666667,0.00783333333333333,0.981666666666667,0.4055,0.372166666666667,0.954,2017,"BROWN","Brown County, Texas"
45457,294.166666666667,0.00766666666666667,0.958,0.509666666666667,0.353,0.946666666666667,2018,"BROWN","Brown County, Texas"
48365,284.666666666667,0.0065,0.952666666666667,0.533,0.296833333333333,0.9385,2019,"BROWN","Brown County, Texas"
43185,269.666666666667,0.035,0.911666666666667,0.673333333333333,0.656666666666667,0.948333333333333,2010,"BURLESON","Burleson County, Texas"
42679,273.666666666667,0.0826666666666667,0.904,0.716666666666667,0.623333333333333,0.949,2011,"BURLESON","Burleson County, Texas"
43976,265.333333333333,0.052,0.942666666666667,0.67,0.713333333333333,0.950333333333333,2012,"BURLESON","Burleson County, Texas"
45651,261.666666666667,0.0496666666666667,0.907,0.54,0.536666666666667,0.952333333333333,2013,"BURLESON","Burleson County, Texas"
49533,268.333333333333,0.0536666666666667,0.943666666666667,0.403333333333333,0.36,0.955333333333333,2014,"BURLESON","Burleson County, Texas"
51821,273.333333333333,0.0296666666666667,0.908666666666667,0.408,0.334333333333333,0.955333333333333,2015,"BURLESON","Burleson County, Texas"
52513,267.333333333333,0.0646666666666667,0.894333333333333,0.349333333333333,0.243333333333333,0.954,2016,"BURLESON","Burleson County, Texas"
52510,264.666666666667,0.0363333333333333,0.948,0.461666666666667,0.307333333333333,0.956666666666667,2017,"BURLESON","Burleson County, Texas"
56235,264.333333333333,0.0416666666666667,0.908333333333333,0.669,0.477666666666667,0.956666666666667,2018,"BURLESON","Burleson County, Texas"
57731,257.333333333333,0.0326666666666667,0.96,0.542333333333333,0.294666666666667,0.956333333333333,2019,"BURLESON","Burleson County, Texas"
48187,530.5,0.02675,0.87225,0.27,0.2975,0.941,2010,"BURNET","Burnet County, Texas"
48291,523.5,0.02225,0.9245,0.315,0.31,0.937,2011,"BURNET","Burnet County, Texas"
49047,531.5,0.049,0.87875,0.48,0.575,0.91275,2012,"BURNET","Burnet County, Texas"
48115,528.5,0.0625,0.871,0.545,0.4575,0.9205,2013,"BURNET","Burnet County, Texas"
50712,531.25,0.09775,0.81375,0.3325,0.2575,0.91575,2014,"BURNET","Burnet County, Texas"
49732,546.25,0.0525,0.8785,0.3545,0.25675,0.91725,2015,"BURNET","Burnet County, Texas"
54259,541.25,0.0525,0.82925,0.4355,0.32225,0.923,2016,"BURNET","Burnet County, Texas"
57173,540.75,0.02425,0.83475,0.42525,0.32075,0.9165,2017,"BURNET","Burnet County, Texas"
59238,548.75,0.02675,0.8695,0.3825,0.2485,0.92725,2018,"BURNET","Burnet County, Texas"
